1,7600 Cliffs Landing Rd, Bay Minette, AL, ,Match,Exact,7600 CLIFFS LANDING RD, BAY MINETTE, AL, 36507,-87.89524,30.8633,636476695,R
2,Clearview Ln, Millbrook, AL, ,No_Match
3,US-84, Opp, AL, ,No_Match
4,1790 Booger Hollow Rd, Dadeville, AL, ,Match,Exact,1790 BOOGER HOLLOW RD, DADEVILLE, AL, 36853,-85.708664,32.866245,1683763,R
5,1040 County Rd 249, Moulton, AL, ,Match,Exact,1040 CO RD 249, MOULTON, AL, 35650,-87.28698,34.565735,41393740,R
6,1100 E Gateway Dr SE, Huntsville, AL, ,No_Match
7,700 Valley St, Hoover, AL, ,Match,Exact,700 VALLEY ST, HOOVER, AL, 35226,-86.85145,33.414936,81559883,L
8,I-65, Clanton, AL, ,No_Match
9,7901 1st Ave S, Birmingham, AL, ,Match,Non_Exact,7901 1ST AVE N, BIRMINGHAM, AL, 35206,-86.72673,33.564827,81585989,R
10,226 49th Ave E, Tuscaloosa, AL, ,Match,Exact,226 49TH AVE E, TUSCALOOSA, AL, 35404,-87.47262,33.2139,82174485,R
11,2200 Green Springs Hwy, Birmingham, AL, ,No_Match
12,1503 Medfra St, Anchorage, AK, ,Match,Exact,1503 MEDFRA ST, ANCHORAGE, AK, 99501,-149.85876,61.207584,190798935,L
13,1400 E 4th Ave, Anchorage, AK, ,No_Match
14,8351 N Cracker Barrel Rd, Marana, AZ, ,No_Match
15,200 S McNab Pkwy, San Manuel, AZ, ,Match,Exact,200 S MCNAB PKWY, SAN MANUEL, AZ, 85631,-110.63167,32.6099,129153630,L
16,Indian Rte 13, Lukachukai, AZ, ,No_Match
17,59705 E Bidegain Pl, Kearny, AZ, ,Match,Exact,59705 E BIDEGAIN PL, KEARNY, AZ, 85137,-110.923096,33.07894,129146886,L
18,135 N Main St, Eagar, AZ, ,No_Match
19,Coronado Trail, Morenci, AZ, ,No_Match
20,Greenland Park Dr and Cobblestones Farms Dr, Maricopa, AZ, ,No_Match
21,123 Vah-Ki Rd, Bapchule, AZ, ,No_Match
22,1113 W St Mary's Rd, Tuscon, AZ, ,Match,Non_Exact,1113 W SAINT MARYS RD, TUCSON, AZ, 85745,-110.98977,32.229618,121169556,L
23,101 Naco Hwy, Bisbee, AZ, ,Match,Exact,101 NACO HWY, BISBEE, AZ, 85603,-109.91982,31.389612,120904743,R
24,Yuma Circle, Cottonwood, AZ, ,No_Match
25,2003 E Rodeo Dr, Cottonwood, AZ, ,No_Match
26,I-10, La Paz County, AZ, ,No_Match
27,2241 Lucille Ave, Kingman, AZ, ,Match,Exact,2241 LUCILLE AVE, KINGMAN, AZ, 86401,-114.02599,35.203903,190314060,R
28,7920 E Chaparral Rd, Scottsdale, AZ, ,Tie
29,E Baseline Rd and S 48th St, Phoenix, AZ, ,No_Match
30,6601 W Christy Dr, Glendale, AZ, ,Match,Exact,6601 W CHRISTY DR, GLENDALE, AZ, 85304,-112.200615,33.583755,128192307,R
31,4130 N Black Canyon Hwy, Phoenix, AZ, ,No_Match
32,20th St and Thomas Rd, Phoenix, AZ, ,No_Match
33,18th St and Palm Ln, Phoenix, AZ, ,No_Match
34,E Baseline Rd and S 48th St, Phoenix, AZ, ,No_Match
35,N 19th Ave and W Cactus Rd, Phoenix, AZ, ,No_Match
36,W Morten Ave and N 42nd Ln, Phoenix, AZ, ,Match,Exact,W MORTEN AVE & N 42ND LN, PHOENIX, AZ, 85051,-112.150665,33.54768,,
37,W Union Hills Dr and N 39th Ave, Phoenix, AZ, ,No_Match
38,6735 W Peoria Ave, Peoria, AZ, ,Match,Exact,6735 W PEORIA AVE, PEORIA, AZ, 85345,-112.2039,33.581676,128951925,L
39,9205 W Hutton Dr, Sun City, AZ, ,Match,Exact,9205 W HUTTON DR, SUN CITY, AZ, 85351,-112.25739,33.63132,128164786,L
40,N College Ave and E Weber Dr, Tempe, AZ, ,Match,Exact,N COLLEGE AVE & E WEBER DR, TEMPE, AZ, 85281,-111.93145,33.44241,,
41,E Knox Rd and N Exeter St, Chandler, AZ, ,No_Match
42,400 E Vine Ave, Mesa, AZ, ,Match,Exact,400 E VINE AVE, MESA, AZ, 85204,-111.82195,33.40504,128283735,R
43,1400 E Harmony Ave, Mesa, AZ, ,Match,Exact,1400 E HARMONY AVE, MESA, AZ, 85204,-111.80065,33.389576,128246072,L
44,E Broadway Rd and S Pioneer, Mesa, AZ, ,No_Match
45,422 SE 3rd St, England, AR, ,Match,Exact,422 SE 3RD ST, ENGLAND, AR, 72046,-91.96586,34.5427,79703446,L
46,900 E Main St, Cabot, AR, ,Match,Exact,900 E MAIN ST, CABOT, AR, 72023,-92.00818,34.96751,79707151,R
47,900 Walnut St, Jonesboro, AR, ,Match,Exact,900 WALNUT ST, JONESBORO, AR, 72401,-90.71749,35.83461,46909508,R
48,601 AR-18, Manila, AR, ,Match,Exact,601 STATE HWY 18, MANILA, AR, 72442,-90.18092,35.886024,641123169,L
49,9661 Strong Hwy, Strong, AR, ,No_Match
50,Crystal Ln, Meadow Vista, CA, ,No_Match
51,Katherine St, Dunsmuir, CA, ,No_Match
52,4740 Barham Ave, Corning, CA, ,Match,Exact,4740 BARHAM AVE, CORNING, CA, 96021,-122.202385,39.934925,119377190,R
53,Interstate 5 and Mott Airport Rd, Mt Shasta, CA, ,No_Match
54,2661 Gravenstein Hwy S, Sebastopol, CA, ,Match,Exact,2661 GRAVENSTEIN HWY S, SEBASTOPOL, CA, 95472,-122.79219,38.374958,67466175,L
55,1600 9th Ave, Olivehurst, CA, ,Match,Exact,1600 9TH AVE, OLIVEHURST, CA, 95961,-121.55729,39.09176,106941915,L
56,2007 Sousa Ct, Fairfield, CA, ,Match,Exact,2007 SOUSA CT, FAIRFIELD, CA, 94533,-121.99732,38.265472,192538539,L
57,Elkhorn Blvd and Dry Creek Rd, Rio Linda, CA, ,Match,Exact,ELKHORN BLVD & DRY CREEK RD, RIO LINDA, CA, 95673,-121.43833,38.683773,,
58,Hammonton Smartville Rd, Marysville, CA, ,No_Match
59,3800 Lake Tahoe Blvd, South Lake Tahoe, CA, ,Match,Exact,3800 LAKE TAHOE BLVD, S LAKE TAHOE, CA, 96150,-119.95206,38.95102,133035831,R
60,1410 Hill Ave, Napa, CA, ,Match,Exact,1410 HILL AVE, NAPA, CA, 94559,-122.27469,38.30574,67423928,R
